변수,6개,7개,8개,9개,10개,11개,12개,13개,14개,15개,16개,17개,18개,19개,20개,21개,22개,23개,24개,25개,26개,27개,28개,29개,30개,31개,32개,33개,34개,35개,36개,37개,38개,39개,40개,41개,42개,43개,44개,45개,46개,47개,48개,49개,50개
_2순위업종_이용금액,,,,,,4.093194395688209,4.308514228209383,4.313971960593522,4.3271197869471045,4.493389951623825,5.352469426147598,5.373872638294085,5.406502934486306,5.425069380675294,5.756513701855847,5.768898438522734,5.80451904805812,5.892389174696672,5.892909278897063,5.897847434670819,5.903728136137312,5.903766673838248,5.935653241246468,5.939687991468503,5.939715684764585,6.007267203959262,6.021990634445114,6.022332642629667,6.026960252965544,6.045216356993839,6.048090695835965,6.049869952425029,6.07483125962016,6.08006954256795,6.080070614876985,6.080313951789852,6.081260290452471,6.085469438999702,6.087000125132936,6.090760661047857,6.090960303160953,6.090980594735816,6.091554983793662,6.091641132721438,6.091682269181779
이용금액_오프라인_R6M,,,,,,,5.134002578437933,5.331854761836847,5.332524834241718,5.332876873808385,5.563032587515132,6.174540351210982,6.3023564048952165,6.46524214589336,7.155932035483942,9.629046310752315,9.654160880032174,9.882235397635158,9.92363418601521,9.94615475369446,10.020452092053366,10.246867408063842,10.432462574248667,10.43299051263604,10.537720737733272,10.647904613587974,10.710691834623391,10.717545243289722,10.72858554893298,11.391667975780356,11.392732095284778,11.399911461651437,11.447204739544707,11.453463984496176,11.455884331172854,11.577405663045807,11.5815001184737,11.58228332444418,11.6126491430595,11.69398264987809,11.762872242631664,11.83417777316221,11.910977852607694,11.91500060324595,11.95464418196501
정상입금원금_B2M,,,,,,,,5.560527287712831,5.587732116068014,5.593411060700937,5.595813979693219,5.608846347193008,5.621807221991503,5.74350390556866,5.744145126957091,5.751164908091571,5.751675408039249,5.754998441352027,5.847272050542315,7.60706686847413,7.657294279234439,7.657920287718197,7.69805374920612,7.771821024197267,12.222767256570393,12.269877251342692,12.270331213399093,13.57104704730079,13.63707848487899,13.696123490851704,13.71564276655525,15.687120014964636,15.725732469427676,15.72575944690833,15.727886019210636,15.730064621742038,15.737624073124673,15.740934505029657,15.742047256603206,15.772221313259031,15.817432488017994,15.818612553965387,15.83962755074489,15.858692589566637,15.872973153867132
평잔_일시불_3M,,,,,,,,,5.619934415667927,5.622362699644901,5.62236276120575,5.6350600305227045,5.636709383527603,5.646217558839404,5.649114851301947,5.6549787367007,5.655872219109935,5.6739121807729,5.73967320184087,5.82935536882506,14.32141334050278,14.32960758682786,14.416511047709337,16.44931952292123,16.450974834836554,16.547457603584512,16.550793256316673,16.587661597132946,21.651306982167632,21.665921966781717,21.666498544504638,21.720326408684294,21.7708446629244,21.778653626271456,21.801101729202745,21.97639357957827,22.00651226564044,22.03312094355576,22.046226415537284,22.10661355276856,22.130753957119477,22.13322448649587,22.15893872602127,22.165537105027088,22.16586432998588
_3순위쇼핑업종_이용금액,,,,,,,,,,5.812632595975442,5.901817236078875,6.018103821289843,6.038118664185625,6.039071641670548,6.293945669234208,6.29491279614663,8.546382932200588,8.550098132977338,8.557707812719816,8.558729333799155,8.568365082467528,9.023700375103935,9.024388844853371,9.025454598873823,9.026736332986411,9.07530178279126,9.076052169925902,9.07782123630467,9.07791053731451,9.079396051830548,9.084471736470102,9.086768762832232,9.100095212505254,9.100207906559,9.101690199969,9.101988277723096,9.102384555606228,9.118464504679483,9.122775762565537,9.12293880688658,9.122965410846096,9.122976994505173,9.124720955068009,9.1248017691967,9.124814645205811
_3순위업종_이용금액,,,,,,,,,,,6.566904479140272,6.603300839327472,6.626461437477508,6.679616607703155,6.703933980750037,6.750691216060051,6.7621540594359,6.976919689204535,6.977363704458482,6.982880658817146,7.026474328930688,7.290460502077584,7.301945833088689,7.301971860180787,7.302299907470815,7.307435919262911,7.308212407331494,7.30836761086675,7.311210193854384,7.313595720030373,7.322432315159719,7.32260390054113,7.323667573751488,7.3253469782023855,7.337207440483235,7.337248383665582,7.337490740726819,7.337660786682021,7.33805784493255,7.338337485865181,7.338351164305947,7.338751800396135,7.338988432741839,7.339534762255187,7.339543174889939
이용금액_오프라인_B0M,,,,,,,,,,,,6.710723437470936,6.945136409681527,6.947794823293953,6.96513983986846,8.543201721499596,8.61469062114227,8.614759410096706,8.629062429525522,8.675090655376978,8.685653267729553,9.427411843590074,9.942942258694094,9.943078514519474,9.9437695748797,10.1009867021761,10.162225808479446,10.167052132961174,10.17019307632438,10.36264847823892,10.387505033806898,10.394932154097672,10.592171882516878,10.630665574697955,10.632318914283768,10.632377243409197,10.63311000467684,10.933575129106757,11.007340921671744,11.010293547071145,11.013598593202872,11.0135986124016,11.013685418817,11.013726159707046,11.015061674917838
이용금액_R3M_신용체크,,,,,,,,,,,,,7.044404163015421,7.060282730317171,7.130488235621165,7.181961583964128,7.191696535512889,7.318101970985431,7.318151659324903,7.410810732343871,7.417444866917604,7.432394673435438,7.63105993844994,7.633376806269282,7.641343182720725,8.724286069583979,8.724496304780015,8.724583122035906,8.725504378641954,8.725570271857949,8.737558315806684,8.753219140798072,8.767260305421964,8.767364393764328,9.688734867897844,9.688920608478067,9.690196670688604,9.690436897263446,9.691440286319905,9.694524697025738,9.694577400950823,9.694660414597498,9.695486492215547,9.695486850171813,9.695487704582918
청구금액_R6M,,,,,,,,,,,,,,7.878219415574986,7.880011648886258,7.9924499974187935,7.998204966626578,7.998632589157149,8.471253938763846,8.674690832825728,8.978689530668676,8.978953023362315,8.984294331406323,9.004243918245445,9.196891779838891,9.209004469394698,9.228096954098593,12.757672553461004,12.849425062806125,12.850292986888824,12.859085729912469,12.872568249614217,12.893575603544392,12.893652447496688,12.90509845404673,12.959995054553884,12.987553976435976,13.00574317781177,13.04053806753535,13.076805461065517,13.0909142008172,13.106670669312177,13.17734586169175,13.18088328824964,13.191937737803883
이용건수_오프라인_R6M,,,,,,,,,,,,,,,8.420650093226017,8.425714005982268,8.428308328216826,8.428464317687688,8.545250757514722,8.568259340443625,8.569236113419455,10.82366698622729,10.832111936565264,10.846043785572784,10.84850290762781,10.95317721552295,12.779144081214044,12.798950468984282,12.80125373868554,22.083646509597944,22.299322262775306,22.30725192180225,22.683994716107534,23.355248428859674,23.357932042530987,23.4686473608762,23.93685467938585,23.947923624052915,23.956664561895582,23.96014822592958,23.972956428011944,23.99327890046632,24.00414278240929,24.00879988703758,24.010448125857
이용금액_오프라인_R3M,,,,,,,,,,,,,,,,10.595831818303328,10.596309630501228,10.59770647709103,10.605327452965142,10.69900759164332,10.812087456303471,10.842182271902551,10.858133038129072,10.858235637712133,10.858337931657289,11.082218741291586,11.084279081909266,11.12088946221318,11.14397331646034,12.917488321043896,12.929665443495074,12.930360921749742,12.936340779695048,12.944797074298284,12.952068927849474,13.00277266345808,13.003145699768716,13.003179202426727,13.012598909585703,13.039040981846773,13.040271743422792,13.11398312599004,13.125801408419669,13.133119766784503,13.155217730512568
_2순위쇼핑업종_이용금액,,,,,,,,,,,,,,,,,10.64041283975464,10.645763148682867,10.659419141819086,10.66118164371248,10.661604592738373,10.690994161793387,10.695208054149006,10.69646612657354,10.702683445477463,10.72378111113994,10.7239309328789,10.723932300074395,10.724175059267647,10.727810153010024,10.735680362040736,10.7456226124235,10.76367615847389,10.764187124968911,10.764207165212994,10.764506220531034,10.765959457998452,10.82436526205434,10.89983527253986,10.915555524732524,10.925244238432049,10.92572064220945,10.937995064819582,10.938790889551958,10.939366756188171
이용금액_일시불_R12M,,,,,,,,,,,,,,,,,,11.650229689568222,11.88564412847946,11.937752279883128,12.19636452895134,12.465715844018789,14.85853124590403,15.660160782768155,15.710411895548004,16.110100933363512,16.1591315467291,16.176516501356524,16.285254562706218,16.29249111906888,16.506287761091954,16.584716477592277,21.705843708499188,21.70785252874612,21.735831681462308,21.810341538197683,21.92197137882549,22.4329458093409,23.100033365829987,23.26651420989708,23.435523351469115,23.43628186084615,23.44506859138506,23.47405970406141,23.479043260000758
정상청구원금_B5M,,,,,,,,,,,,,,,,,,,12.051069044704,12.062062375031426,12.067010646880991,12.1458232709479,12.15971263089926,12.159754911232596,16.85504058105247,16.863908048781532,16.90500664135359,16.928477005569654,16.957294800155967,16.973569983457026,17.877804891084118,19.100531790707816,19.158869048624226,19.24855949763432,19.275452792812285,19.452081723150886,19.49721462766988,19.526710944077813,19.839047476211523,19.91068387578794,19.93998579065168,19.97523970214341,20.210460214686893,20.242844938137512,20.24294106943072
정상입금원금_B0M,,,,,,,,,,,,,,,,,,,,13.190480525629589,13.203636838581447,13.255510638388424,13.446255778711931,13.543189818449685,13.55813142298041,13.79955319718058,13.870081374869766,14.22544112034878,14.326524230305983,14.329306824290107,14.40866924814689,28.910552846905755,28.91114081835484,28.9136953161232,28.925558038834023,28.92587933317088,28.951270732741158,29.11667322144504,29.2366388194098,29.2543634670757,29.390911691762454,29.41286505026389,29.479439012892872,29.57584845595332,29.58556293139412
평잔_일시불_6M,,,,,,,,,,,,,,,,,,,,,15.46818483021301,15.468532711945102,15.496598859289971,15.59913643481068,15.635979712203891,15.661519774842375,15.666938373728629,15.711187276838006,15.736819745766509,15.747488062715371,15.84417192824709,15.853478451118413,15.948388238285888,15.95178623114932,15.952751304397372,16.000872328301032,16.021767504097927,16.034948900861405,16.035733247397594,16.036955157371185,16.045790468804075,16.06272152431366,16.06344605797817,16.069499746759238,16.06990601664634
이용가맹점수,,,,,,,,,,,,,,,,,,,,,,16.143554021931095,16.78844041181974,16.818649815447344,16.829353822095722,16.933914644320357,23.817082537040783,23.8458664808267,23.870053844545417,23.947972561334044,24.397958623182102,24.460825522596075,24.639194118413283,24.78590451587244,24.8028875083596,25.00038507824721,25.01156261689985,25.01650604301721,25.041615928023443,25.045618296266134,25.062473169853096,25.06986900750811,25.07674025635139,25.08444210986408,25.084442467031487
이용금액_일시불_R6M,,,,,,,,,,,,,,,,,,,,,,,17.462799848615536,17.572650128693844,17.83524193568546,19.21555646239859,19.234682319634143,19.28007029399844,19.295874587156423,19.302152336981116,19.332886068560494,19.55606003225168,35.89599446974486,40.19398152531989,40.43230750993372,63.0804043402738,64.80097154635531,65.41721943905917,66.05878225696286,66.06199589328085,66.10554503743805,66.15997342279493,66.21685249455936,66.21923161819491,66.2214482284675
월중평잔_일시불_B0M,,,,,,,,,,,,,,,,,,,,,,,,20.198654461675677,20.2021378067962,20.203606665019954,20.203662887361617,20.21607564964325,29.35198581265272,29.355752790471964,29.361122625266784,29.362061853722217,29.37642378596467,29.4199947392983,29.42479253579308,29.43689164221309,29.45797577109669,29.463240059288957,29.47642603155194,29.48340002951181,29.48892998056877,29.48902611828081,29.489030003471257,29.489141009689725,29.489577346275265
